group,source,coverage,domain,rss_url
Policía,Policía Nacional · Sala de prensa,Nacional y regional,,
Policía,"Policía Metropolitanas (MEBOG, MEVAL, MECAL...)",Ciudades principales,,
Policía,Policía Nacional · Estadística delictiva (SIEDCO),"Nal., dep., municipal",,
Policía,DIJIN · Revista Criminalidad,"Nal., departamental",,
Ministerio de Defensa,Ministerio de Defensa Nacional,Nacional,,
Ministerio de Defensa,Ejército Nacional,Nacional y regional,,
Ministerio de Defensa,Divisiones del Ejército (1a a 8a),Regional,,
Ministerio de Defensa,Fuerza Aeroespacial (FAC),Nacional,,
Ministerio de Defensa,Armada Nacional,"Costas, ríos, fronteras",,
Ministerio de Defensa,Comando General FF. MM.,Nacional,,
Ministerio de Defensa,Logros de la Política de Defensa,"Nal., departamental",,
Secretaría de seguridad,Secretaría Distrital de Seguridad · Bogotá,Bogotá y localidades,,
Secretaría de seguridad,Alcaldía de Bogotá,Bogotá,,
Secretaría de seguridad,Alcaldía de Medellín (SISC),Medellín,,
Secretaría de seguridad,Alcaldía de Cali,Cali,,
Secretaría de seguridad,Alcaldía de Barranquilla,Barranquilla,,
Secretaría de seguridad,Alcaldía de Cartagena,Cartagena,,
Secretaría de seguridad,Gobernación de Antioquia,Antioquia,,
Secretaría de seguridad,Gobernación de Cundinamarca,Cundinamarca,,
Secretaría de seguridad,Gobernación del Valle del Cauca,Valle del Cauca,,
Secretaría de seguridad,Gobernación del Atlántico,Atlántico,,
Secretaría de seguridad,Gobernación de Santander,Santander,,
Secretaría de seguridad,Otras gobernaciones y alcaldías,Dep. y municipal,,
Observatorios y fundaciones,DANE · Convivencia y Seguridad (ECSC),"Nal., 13+ ciudades",,
Observatorios y fundaciones,Medicina Legal · Forensis,"Nal., dep., municipal",,
Observatorios y fundaciones,Fiscalía General de la Nación,"Nal., dep., municipal",,
Observatorios y fundaciones,Observatorio de Política Criminal · MinJusticia,"Nal., dep., municipal",,
Observatorios y fundaciones,Portal de Datos Abiertos de Colombia,Nacional,,
Observatorios y fundaciones,INDEPAZ,"Nacional, regional",,
Observatorios y fundaciones,CERAC,"Nacional, regional",,
Observatorios y fundaciones,Fundación Ideas para la Paz (FIP),"Nacional, regional",,
Observatorios y fundaciones,Corporación Excelencia en la Justicia (CEJ),Nacional,,
